№,"Иврит (Инфинитив)",Русский,Биньян / Гизра,"Комментарий (включая пример)"
1,לִהְיוֹת,Быть,"Pa'al (פ""י/ל""ה)","Неправильный, используется для построения времен; Я буду здесь завтра. (אֲנִי אֶהְיֶה כָּאן מָחָר.)"
2,לוֹמַר,Сказать,"Pa'al (פ""י)","В настоящем времени: אומר (омэр); Я хочу сказать тебе что-то. (אֲנִי רוֹצֶה לוֹמַר לְךָ מַשֶּׁהוּ.)"
3,לָבוֹא,Приходить,"Pa'al (פ""י)","אֶל/לְ Используется с предлогом Они приходят домой поздно. (הֵם בָּאִים הַבַּיְתָה מְאוּחָר.)"
4,לָלֶכֶת,Идти/Ходить,"Pa'al (פ""י)","В прошедшем: הָלַכְתִי (hала́хти); Мы идем в парк. (אֲנַחְנוּ הוֹלְכִים לַפָּארְק.)"
5,לַעֲשׂוֹת,Делать,"Pa'al (ל""ה)","Один из самых важных глаголов; Что ты делаешь? (מָה אַתָּה עוֹשֶׂה?)"
6,לָתֵת,Давать,"Pa'al (פ""י/פ""נ)"," נ.ת.נ Неправильный, корень; Она дает мне книгу. (הִיא נוֹתֶנֶת לִי סֵפֶר.)"
7,לָקַחַת,Брать/Покупать,"Pa'al (פ""י)"," ל.ק.ח Неправильный, корень; Я возьму это сейчас. (אֲנִי אֶקַּח אֶת זֶה עַכְשָׁיו.)"
8,לָדַעַת,Знать,"Pa'al (ל""ה)","Знать факт, информацию; Ты знаешь ответ? (אַתָּה יוֹדֵעַ אֶת הַתְּשׁוּבָה?)"
9,לֶאֱכֹל,Есть (кушать),"Pa'al (פ""א)","א – гортанная буква; Что ты ешь на завтрак? (מָה אַתָּה אוֹכֵל בָּאֲרוּחַת בֹּקֶר?)"
10,לִשְׁתוֹת,Пить,"Pa'al (ל""ה)",Я пью воду каждый день. (אֲנִי שׁוֹתֶה מַיִם כָּל יוֹם.)
11,לִרְאוֹת,Видеть,"Pa'al (ל""ה)",Он видит свой дом издалека. (הוּא רוֹאֶה אֶת בֵּיתוֹ מֵרָחוֹק.)
12,לִשְׁמֹעַ,Слышать/Слушать,"Pa'al (ע""ג)","ע – гортанная буква; Я слышу музыку. (אֲנִי שׁוֹמֵעַ מוּזִיקָה.)"
13,לִכְתּוֹב,Писать,Pa'al (שלם),"«Шалэм» – правильный корень; Она пишет письмо. (הִיא כּוֹתֶבֶת מִכְתָּב.)"
14,לִקְרֹא,Читать/Звать,"Pa'al (ל""א)","א – гортанная буква; Я читаю эту книгу. (אֲנִי קוֹרֵא אֶת הַסֵּפֶר הַזֶּה.)"
15,לָשֶׁבֶת,Сидеть,"Pa'al (פ""י)",Они сидят в кафе. (הֵם יוֹשְׁבִים בְּבֵית קָפֶה.)
16,לַעֲמֹד,Стоять,"Pa'al (ע""ג)",ע – гортанная буква; Она стоит у двери. (הִיא עוֹמֶדֶת לְיַד הַדֶּלֶת.)
17,לָגוּר,Жить/Проживать,"Pa'al (ע""ו/ע""י)","קו""ף (Kuf); Где ты живешь? (אֵיפֹה אַתָּה גָּר?)"
18,לִישׁוֹן,Спать,"Pa'al (פ""י)",Я сплю восемь часов. (אֲנִי יָשֵׁן שְׁמוֹנֶה שָׁעוֹת.)
19,לַעֲבֹד,Работать,"Pa'al (ע""ג)",Где ты работаешь? (אֵיפֹה אַתָּה עוֹבֵד?)
20,לִרְצוֹת,Хотеть,"Pa'al (ל""ה)",Я хочу пить. (אֲנִי רוֹצֶה לִשְׁתּוֹת.)
21,לֶאֱהֹב,Любить,"Pa'al (פ""א)",Я люблю Израиль. (אֲנִי אוֹהֵב אֶת יִשְׂרָאֵל.)
22,לַחֲשׁוֹב,Думать,Pa'al (שלם),О чем ты думаешь? (עַל מָה אַתָּה חוֹשֵׁב?)
23,לִשְׁאֹל,Спрашивать,"Pa'al (פ""א)",Я хочу спросить тебя о многом. (אֲנִי רוֹצֶה לִשְׁאֹל אוֹתְךָ הַרְבֵּה.)
24,לַעֲנוֹת,Отвечать,"Pa'al (ל""ה)","Пожалуйста, ответь мне! (בְּבַקָּשָׁה, תַּעֲנֶה לִי!)"
25,לִפְתּוֹחַ,Открывать,"Pa'al (ע""ח)",ח – гортанная буква; Он открывает окно. (הוּא פּוֹתֵחַ אֶת הַחַלּוֹן.)
26,לִסְגּוֹר,Закрывать,Pa'al (שלם),Мне нужно закрыть дверь. (אֲנִי צָרִיךְ לִסְגּוֹר אֶת הַדֶּלֶת.)
27,לִקְנוֹת,Покупать,"Pa'al (ל""ה)",Я покупаю новую машину. (אֲנִי קוֹנֶה מְכוֹנִית חֲדָשָׁה.)
28,לִמְכּוֹר,Продавать,Pa'al (שלם),Они продают свой дом. (הֵם מוֹכְרִים אֶת הַבַּיִת שֶׁלָּהֶם.)
29,לַעֲלוֹת,Подниматься,"Pa'al (ל""ה)","Также ""делать алию""; Он поднимается по лестнице. (הוּא עוֹלֶה בַּמַּדְרֵגוֹת.)"
30,לָרֶדֶת,Спускаться,Pa'al (שלם),Она спускается вниз. (הִיא יוֹרֶדֶת לְמַטָּה.)
31,לִבְכּוֹת,Плакать,"Pa'al (ל""ה)",Почему ребенок плачет? (לָמָּה הַיֶּלֶד בּוֹכֶה?)
32,לִצְחֹק,Смеяться,Pa'al (שלם),Он много смеется. (הוּא צוֹחֵק הַרְבֵּה.)
33,לִפְחֹד,Бояться,Pa'al (שלם),Не бойся! (אַל תִּפְחַד!)
34,לְחַפֵּשׂ,Искать,Pi'el (שלם),"Интенсивное действие; Я ищу ключи. (אֲנִי מְחַפֵּשׂ אֶת הַמַּפְתְּחוֹת.)"
35,לְדַבֵּר,Говорить,Pi'el (שלם),"Самый частый глагол для ""говорить""; Я говорю на иврите. (אֲנִי מְדַבֵּר עִבְרִית.)"
36,לְשַׁלֵּם,Платить,Pi'el (שלם),Мне нужно заплатить за ужин. (אֲנִי צָרִיךְ לְשַׁלֵּם עַל הָאֲרוּחָה.)
37,לְסַפֵּר,Рассказывать,Pi'el (שלם),Расскажи мне историю! (סַפֵּר לִי סִיפּוּר!)
38,לְקַבֵּל,Получать/Принимать,Pi'el (שלם),Она получает подарок. (הִיא מְקַבֶּלֶת מַתָּנָה.)
39,לְבַקֵּר,Посещать/Навещать,Pi'el (שלם),Мы посетим бабушку. (אֲנַחְנוּ נְבַקֵּר אֶת סָבְתָא.)
40,לְקַווֹת,Надеется,"Pi'el (ע""ו/ע""י)","Я надеюсь, что все будет хорошо. (אֲנִי מְקַוֶּוה שֶׁהַכֹּל יִהְיֶה בְּסֵדֶר.)"
41,לְלַמֵּד,Учить/Преподавать,Pi'el (שלם),Он преподает математику. (הוּא מְלַמֵּד מָתֶמָטִיקָה.)
42,לְנַסוֹת,Пробовать,"Pi'el (ל""ה)",Попробуй еще раз. (תְּנַסֶּה עוֹד פַּעַם.)
43,לְסַיֵּם,Заканчивать,"Pi'el (ע""ו/ע""י)",Я заканчиваю работу в пять. (אֲנִי מְסַיֵּם אֶת הָעֲבוֹדָה בְּחָמֵשׁ.)
44,לְחַכּוֹת,Ждать,"Pi'el (ל""ה)",Я жду тебя. (אֲנִי מְחַכֶּה לְךָ.)
45,לְהַתְחִיל,Начинать,"Hif'il (פ""ת)",«hетфи́ль»; Мы начинаем урок. (אֲנַחְנוּ מַתְחִילִים אֶת הַשִּׁיעוּר.)
46,לְהַסְבִּיר,Объяснять,Hif'il (שלם),Причинно-следственный биньян; Объясни мне это правило. (תַּסְבִּיר לִי אֶת הַכְּלָל הַזֶּה.)
